fecha_sesion,hora_dormirse,hora_despertar,duracion_total_min,deep_sleep_min,light_sleep_min,rem_sleep_min,wake_after_sleep_onset_min,wake_before_offbed_min,quality,avg_hrv
2026-03-12,22:59,02:40,221.0,75.5,90.0,46.0,0.0,0.5,0.57,54.0
2026-03-13,00:02,04:46,284.0,65.5,153.0,65.5,0.0,0.0,0.63,40.0
2026-03-14,22:25,07:45,560.0,93.0,331.5,135.5,0.0,0.0,0.81,63.0
2026-03-15,22:44,06:50,486.0,89.0,284.0,113.0,0.0,0.0,0.85,57.0
2026-03-16,23:15,06:15,420.0,96.5,217.5,106.0,0.0,0.0,0.82,62.0
2026-03-17,23:21,06:39,438.0,94.0,225.5,118.5,0.0,0.0,0.82,42.0
2026-03-18,23:53,07:28,455.0,89.5,246.0,119.5,0.0,0.0,0.85,53.0
2026-03-19,23:53,07:29,456.0,64.0,245.0,147.0,0.0,0.0,0.8,65.0
2026-03-20,00:12,07:37,445.0,91.0,226.5,127.5,0.0,0.0,0.83,46.0
2026-03-21,23:02,08:16,554.0,80.0,330.0,144.0,0.0,0.0,0.79,65.0
2026-03-22,23:17,06:30,433.0,88.5,264.5,78.0,2.0,0.0,0.8,60.0
2026-03-23,22:54,06:30,456.0,87.0,224.0,145.0,0.0,0.0,0.83,56.0
2026-03-24,22:57,07:25,508.0,139.0,263.5,104.5,1.0,0.0,0.82,62.0
2026-03-25,22:59,01:29,150.0,0.0,0.0,0.0,0.0,0.0,,39.0
2026-03-26,23:44,03:58,254.0,55.0,149.0,50.0,0.0,0.0,0.63,55.0
2026-03-27,23:38,06:54,436.0,109.0,197.0,130.0,0.0,0.0,0.82,45.0
2026-03-28,00:42,05:52,250.0,60.5,135.5,54.0,0.0,0.0,0.63,30.0
2026-03-29,23:13,08:38,565.0,110.5,343.5,101.0,10.0,0.0,0.79,59.0
2026-03-30,23:34,09:05,571.5,128.0,322.0,120.0,1.5,0.0,0.79,61.0
2026-03-31,00:27,03:54,207.0,56.5,112.5,38.0,0.0,0.0,0.49,58.0
2026-04-01,23:31,01:50,139.0,0.0,0.0,0.0,0.0,0.0,,31.0
2026-04-06,23:21,07:03,462.0,104.5,278.0,79.5,0.0,0.0,0.8,60.0
2026-04-07,23:20,07:21,481.0,130.5,272.5,78.0,0.0,0.0,0.8,63.0
2026-04-08,22:44,06:53,489.0,64.0,275.5,149.5,0.0,0.0,0.8,58.0
2026-04-09,22:57,07:12,495.0,84.5,295.0,113.5,2.0,0.0,0.84,53.0
2026-04-11,00:59,04:49,230.0,62.0,131.0,37.0,0.0,0.0,0.49,32.0
2026-04-12,23:47,06:40,413.0,96.0,223.5,93.5,0.0,0.0,0.8,68.0
2026-04-13,23:11,04:46,335.0,77.5,176.5,81.0,0.0,0.0,0.77,45.0
2026-04-14,22:55,07:38,523.0,92.5,297.5,133.0,0.0,0.0,0.84,56.0
2026-04-15,23:48,07:20,452.0,115.5,264.0,71.0,1.5,0.0,0.8,59.0
2026-04-17,23:56,08:34,518.0,148.5,289.5,80.0,0.0,0.0,0.79,63.0
2026-04-18,00:32,10:00,568.5,76.0,356.5,131.0,5.0,0.0,0.79,53.0
2026-04-19,23:54,06:57,423.0,70.5,219.5,133.0,0.0,0.0,0.83,67.0
2026-04-21,22:48,07:24,516.5,74.0,313.0,129.5,0.0,0.0,0.82,56.0
2026-04-22,23:52,07:11,439.0,82.5,277.0,75.5,4.0,0.0,0.82,52.0
2026-04-23,23:36,02:32,176.0,0.0,0.0,0.0,0.0,0.0,,56.0
2026-04-24,22:53,07:40,527.0,79.0,297.5,150.5,0.0,0.0,0.82,62.0
2026-04-26,23:47,07:06,439.0,74.5,279.0,82.0,3.5,0.0,0.82,62.0
2026-04-27,23:24,01:40,136.0,0.0,0.0,0.0,0.0,0.0,,47.0
2026-04-28,23:05,07:24,499.0,127.5,304.5,67.0,0.0,0.0,0.79,65.0
2026-04-29,23:41,03:53,252.0,56.5,137.5,58.0,0.0,0.0,0.63,58.0
